Date du jour,Intervalle 15 min,IVRName,Nombre d'appels recus,Appels Repondus,Appels Perdus,Duree totale d'appel,Duree moyenne d'appel,Taux de reponse
2026-03-20,09:00:00,Pôle Fa - ELICA,1,1,0,552,552,100
2026-03-20,10:00:00,Pôle Fa - ELICA,2,2,0,622,311,100
2026-03-20,10:15:00,Pôle Fa - ELICA,1,1,0,805,805,100
2026-03-20,11:15:00,Pôle Fa - ELICA,1,1,0,712,712,100
2026-03-20,11:30:00,Pôle Fa - ELICA,1,1,0,642,642,100
2026-03-20,12:00:00,Pôle Fa - ELICA,1,1,0,297,297,100
2026-03-20,12:15:00,Pôle Fa - ELICA,1,1,0,887,887,100
2026-03-20,13:00:00,Pôle Fa - ELICA,1,1,0,754,754,100
2026-03-20,13:15:00,Pôle Fa - ELICA,1,1,0,98,98,100
2026-03-20,13:30:00,Pôle Fa - ELICA,1,1,0,260,260,100
2026-03-20,14:00:00,Pôle Fa - ELICA,3,3,0,1856,618.67,100
2026-03-20,14:15:00,Pôle Fa - ELICA,1,1,0,1302,1302,100
2026-03-20,14:30:00,Pôle Fa - ELICA,1,1,0,1083,1083,100
2026-03-20,14:45:00,Pôle Fa - ELICA,3,3,0,719,239.67,100
2026-03-20,15:00:00,Pôle Fa - ELICA,1,1,0,138,138,100
2026-03-20,15:45:00,Pôle Fa - ELICA,1,1,0,613,613,100
2026-03-20,16:30:00,Pôle Fa - ELICA,2,2,0,265,132.5,100
2026-03-20,16:45:00,Pôle Fa - ELICA,1,1,0,424,424,100
2026-03-20,17:15:00,Pôle Fa - ELICA,1,1,0,832,832,100